Rank,NOC,Gold,Silver,Bronze,Total,Year,Medal_Score,Medal_Share
1,USA,11,7,2,20,1896,49,0.16393442622950818
2,GRE,10,18,19,47,1896,85,0.38524590163934425
3,GER,6,5,2,13,1896,30,0.10655737704918032
4,FRA,5,4,2,11,1896,25,0.09016393442622951
5,GBR,2,3,2,7,1896,14,0.05737704918032787
6,HUN,2,1,3,6,1896,11,0.04918032786885246
7,AUT,2,1,2,5,1896,10,0.040983606557377046
8,AUS,2,0,0,2,1896,6,0.01639344262295082
9,DEN,1,2,3,6,1896,10,0.04918032786885246
10,SUI,1,2,0,3,1896,7,0.02459016393442623
11,MIX,1,0,1,2,1896,4,0.01639344262295082
1,FRA,27,39,37,103,1900,196,0.3626760563380282
2,USA,19,14,15,48,1900,100,0.16901408450704225
3,GBR,15,7,9,31,1900,68,0.10915492957746478
4,MIX,8,5,6,19,1900,40,0.06690140845070422
5,BEL,6,7,4,17,1900,36,0.05985915492957746
6,SUI,6,2,1,9,1900,23,0.03169014084507042
7,GER,4,3,2,9,1900,20,0.03169014084507042
8,ITA,3,2,0,5,1900,13,0.017605633802816902
9,AUS,2,0,3,5,1900,9,0.017605633802816902
10,DEN,1,3,2,6,1900,11,0.02112676056338028
11,HUN,1,2,2,5,1900,9,0.017605633802816902
12,CUB,1,1,0,2,1900,5,0.007042253521126761
13,CAN,1,0,1,2,1900,4,0.007042253521126761
14,ESP,1,0,0,1,1900,3,0.0035211267605633804
14,LUX,1,0,0,1,1900,3,0.0035211267605633804
16,AUT,0,3,3,6,1900,9,0.02112676056338028
17,NOR,0,2,3,5,1900,7,0.017605633802816902
17,NED,0,2,3,5,1900,7,0.017605633802816902
19,IND,0,2,0,2,1900,4,0.007042253521126761
20,BOH,0,1,1,2,1900,3,0.007042253521126761
21,SWE,0,0,1,1,1900,1,0.0035211267605633804
1,USA,76,78,77,231,1904,461,0.825
2,GER,4,5,6,15,1904,28,0.05357142857142857
3,CAN,4,1,1,6,1904,15,0.02142857142857143
4,CUB,3,0,0,3,1904,9,0.010714285714285714
5,HUN,2,1,1,4,1904,9,0.014285714285714285
5,MIX,2,1,1,4,1904,9,0.014285714285714285
