Year,NOC,Total,Gold,Historical_Medals,Total_Events,Total_Participants,Gender_Ratio,Is_Host
1936,AFG,0.0,0.0,0.0,4,15,1.0,0
1948,AFG,0.0,0.0,0.0,2,22,1.0,0
1956,AFG,0.0,0.0,0.0,1,12,1.0,0
1960,AFG,0.0,0.0,0.0,13,12,1.0,0
1964,AFG,0.0,0.0,0.0,8,8,1.0,0
1968,AFG,0.0,0.0,0.0,5,5,1.0,0
1972,AFG,0.0,0.0,0.0,8,8,1.0,0
1980,AFG,0.0,0.0,0.0,11,11,1.0,0
1988,AFG,0.0,0.0,0.0,5,5,1.0,0
1996,AFG,0.0,0.0,0.0,2,2,1.0,0
2004,AFG,0.0,0.0,0.0,5,5,0.6,0
2008,AFG,1.0,0.0,0.0,4,4,0.75,0
2012,AFG,1.0,0.0,1.0,6,6,0.8333333333333334,0
2016,AFG,0.0,0.0,2.0,3,3,0.6666666666666666,0
2020,AFG,0.0,0.0,2.0,5,5,0.8,0
2024,AFG,0.0,0.0,2.0,6,6,0.5,0
1952,AHO,0.0,0.0,0.0,1,11,1.0,0
1960,AHO,0.0,0.0,0.0,4,5,1.0,0
1964,AHO,0.0,0.0,0.0,4,4,1.0,0
1968,AHO,0.0,0.0,0.0,4,5,0.6,0
1972,AHO,0.0,0.0,0.0,2,2,1.0,0
1976,AHO,0.0,0.0,0.0,4,4,1.0,0
1984,AHO,0.0,0.0,0.0,10,8,0.375,0
1988,AHO,1.0,0.0,0.0,4,3,0.6666666666666666,0
1992,AHO,0.0,0.0,1.0,4,4,0.75,0
1996,AHO,0.0,0.0,1.0,7,6,1.0,0
2000,AHO,0.0,0.0,1.0,8,7,0.8571428571428571,0
2004,AHO,0.0,0.0,1.0,3,3,1.0,0
2008,AHO,0.0,0.0,1.0,4,3,1.0,0
2024,AIN,0.0,0.0,0.0,30,32,0.46875,0
1972,ALB,0.0,0.0,0.0,3,5,0.8,0
1992,ALB,0.0,0.0,0.0,8,7,0.7142857142857143,0
1996,ALB,0.0,0.0,0.0,7,7,0.42857142857142855,0
2000,ALB,0.0,0.0,0.0,5,4,0.5,0
2004,ALB,0.0,0.0,0.0,7,7,0.7142857142857143,0
2008,ALB,0.0,0.0,0.0,12,11,0.6363636363636364,0
2012,ALB,0.0,0.0,0.0,9,9,0.6666666666666666,0
2016,ALB,0.0,0.0,0.0,6,6,0.5,0
