NOC,Best_Params,CV_MSE,CV_RMSE,Train_MSE,Train_RMSE,Train_R2
AFG,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",0.31231713894028523,0.5588534145375559,0.0013902568649567576,0.037286148432853154,0.9872890800918239
AHO,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",0.09920094649648338,0.3149618175215583,0.011590891325727574,0.10766100187963873,0.8367616138293368
ALB,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}",0.4035233509562256,0.6352348785734498,1.8762929916872277e-16,1.369778446204797e-08,0.9999999999999994
ALG,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}",4.503390262499583,2.1221192856433833,0.002431313641157849,0.04930835265102505,0.998905908861479
AND,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
ANG,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
ANT,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
ARG,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",6.19731766866361,2.4894412362342697,0.026763765908765162,0.16359635053620591,0.9951624850924264
ARM,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}",2.8042242115609852,1.674581801991466,8.379529813952281e-06,0.002894741752549315,0.999996882035418
ARU,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
ASA,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
AUS,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",53.54788003895317,7.317641699273965,0.3835538285013184,0.6193172276800626,0.9987471500544938
AUT,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",11.246064311477067,3.3535152171232303,0.1364640958513667,0.369410470684531,0.9860513701003714
AZE,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}",16.382387286165688,4.047516187264195,1.4512150748189027e-05,0.0038094816902288723,0.9999993621032638
BAH,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",0.5645275295910506,0.7513504705469016,0.00277238753195303,0.0526534664761308,0.9968371353508705
BAN,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
BAR,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",0.07558298686326156,0.27492360186652137,0.006845109093866394,0.08273517446567931,0.8967968167386298
