NOC,Pred_Gold_Medals,Gold_Medals_LowerCI,Gold_Medals_UpperCI,2024_Gold_Medals,CI_Margin,Prob_FirstMedal
USA,46.97393817372334,45.46416476011418,48.4837115873325,40.0,1.509773413609161,0
CHN,40.09885098336239,40.09759509160992,40.10010687511486,40.0,0.001255891752473735,0
JPN,23.57952731378309,23.5726730018054,23.58638162576078,20.0,0.006854311977689394,0
GBR,20.096762083518534,19.970437017290678,20.22308714974639,14.0,0.12632506622785708,0
AUS,16.773786265243537,16.65163411165558,16.895938418831495,18.0,0.12215215358795888,0
ITA,10.764962996830697,9.69414127457398,11.835784719087414,12.0,1.0708217222567173,0
NED,9.871018683168767,8.540056884062905,11.20198048227463,15.0,1.3309617991058633,0
GER,8.860860672125552,7.978509302664784,9.74321204158632,12.0,0.8823513694607682,0
FRA,8.487793835519026,6.557441389958832,10.41814628107922,16.0,1.9303524455601944,0
CUB,7.756340436383751,7.3627995181348656,8.149881354632637,2.0,0.39354091824888593,0
CAN,7.6040958441037745,7.444672343987862,7.763519344219687,9.0,0.15942350011591297,0
NZL,7.505294700281164,6.379911929211824,8.630677471350504,10.0,1.1253827710693396,0
HUN,6.614643961601429,5.634332909734519,7.594955013468338,6.0,0.9803110518669096,0
ROU,6.569165537791899,6.385710419345361,6.752620656238437,3.0,0.18345511844653847,0
KOR,6.055517714289355,5.9277395879589125,6.183295840619797,13.0,0.127778126330442,0
JAM,4.747595848984769,4.31326396988544,5.181927728084099,1.0,0.43433187909932935,0
UZB,4.71036659108516,4.164086450015421,5.256646732154899,8.0,0.5462801410697395,0
KEN,4.401287777885751,4.400495353785754,4.402080201985749,4.0,0.0007924240999978232,0
CRO,3.9400559850720556,3.4338949784707054,4.446216991673406,2.0,0.5061610066013503,0
BRA,3.5033118376362946,3.4065025086844796,3.6001211665881097,3.0,0.09680932895181496,0
ESP,3.244592067616064,3.168482257969775,3.3207018772623527,5.0,0.07610980964628898,0
NOR,3.127970927426258,2.7796954267433143,3.4762464281092016,4.0,0.3482755006829438,0
GEO,3.0021519722917005,2.7084652445501436,3.2958387000332574,3.0,0.2936867277415569,0
GRE,2.816697702865662,2.362946612240857,3.270448793490467,1.0,0.45375109062480484,0
IRI,2.737497216217781,2.1594921220958776,3.315502310339684,3.0,0.5780050941219032,0
SRB,2.5924541321054555,2.592363246280525,2.592545017930386,3.0,9.088582493025542e-05,0
SWE,2.484905751552455,1.38393025557954,3.5858812475253696,4.0,1.1009754959729148,0
POL,2.4839989890394327,2.248437373275368,2.7195606048034975,1.0,0.23556161576406456,0
CZE,2.3186327136374802,1.7934727996012858,2.8437926276736745,3.0,0.5251599140361944,0
SLO,2.066399621724433,1.8237654341007008,2.309033809348165,2.0,0.24263418762373204,0
IRL,2.0461220915420317,2.039105230953396,2.0531389521306673,4.0,0.007016860588635409,0
PRK,1.9967706204252726,1.9792765745120915,2.0142646663384536,0.0,0.01749404591318113,0
BUL,1.9864199792751773,1.985308245392384,1.9875317131579706,3.0,0.0011117338827933974,0
QAT,1.9585469598039482,1.9545156372860977,1.9625782823217988,0.0,0.004031322517850462,0
HKG,1.9520777403142497,1.931683010582886,1.9724724700456135,2.0,0.020394729731363876,0
INA,1.887219257466394,1.8260433419616175,1.9483951729711704,2.0,0.061175915504776426,0
DEN,1.877290402698718,1.380237021661142,2.374343783736294,2.0,0.497053381037576,0
ANZ,1.784364746780636,-8.478645999186318,12.04737549274759,,10.263010745966954,0
