NOC,Pred_Total_Medals,Total_Medals_LowerCI,Total_Medals_UpperCI,2024_Gold_Medals,CI_Margin,Prob_FirstMedal
USA,129.27418668229032,129.0402088194394,129.50816454514123,126.0,0.2339778628509119,0.0
CHN,93.04308351414834,91.86551330519625,94.22065372310043,91.0,1.1775702089520965,0.0
GBR,63.69200855983003,59.80967187545815,67.57434524420191,65.0,3.882336684371876,0.0
AUS,52.49741648253594,51.26451360504776,53.73031936002412,53.0,1.2329028774881794,0.0
JPN,46.22863950156771,46.14380146975927,46.31347753337616,45.0,0.08483803180844367,0.0
ITA,38.79067665668091,36.76220027542477,40.81915303793705,40.0,2.0284763812561386,0.0
FRA,36.541431255811816,34.40965169947022,38.673210812153414,64.0,2.1317795563415998,0.0
GER,32.18705149678555,31.69748997394679,32.67661301962431,33.0,0.4895615228387604,0.0
CUB,26.00820400176588,25.64791876746372,26.368489236068037,9.0,0.3602852343021578,0.0
CAN,25.644377788206807,25.63853963927368,25.650215937139933,27.0,0.005838148933124362,0.0
HUN,25.31452902897053,24.94484950116761,25.68420855677345,19.0,0.3696795278029203,0.0
NED,21.45589731961618,20.93201667918476,21.979777960047603,34.0,0.5238806404314201,0.0
BRA,20.85584067360767,20.36898566476893,21.34269568244641,20.0,0.4868550088387418,0.0
KOR,20.39669221535413,20.03358853143857,20.759795899269687,32.0,0.36310368391555603,0.0
ROU,18.080102193777496,18.072093814749113,18.088110572805878,9.0,0.008008379028382563,0.0
AZE,18.07498129943973,18.06720277956617,18.082759819313292,7.0,0.007778519873561164,0.0
ESP,17.55772707372103,17.482480993664225,17.632973153777833,18.0,0.07524608005680244,0.0
NZL,17.437430702848065,16.625394071526653,18.249467334169477,20.0,0.8120366313214128,0.0
UKR,16.05029470412758,13.258567916430305,18.842021491824855,12.0,2.791726787697276,0.0
POL,13.84794626999242,13.84275842718225,13.85313411280259,10.0,0.00518784281017023,0.0
BUL,12.615175128426246,12.60097714044583,12.629373116406663,7.0,0.014197987980417475,0.0
UZB,12.077609733713025,11.322691910342686,12.832527557083365,13.0,0.7549178233703391,0.0
IRI,11.46015796196108,11.431806987499439,11.488508936422722,12.0,0.028350974461642222,0.0
SWE,10.530878873413208,9.820653949941656,11.24110379688476,11.0,0.7102249234715514,0.0
DEN,10.292231389848665,10.291294757090155,10.293168022607174,9.0,0.0009366327585105588,0.0
KEN,10.056017714025545,9.531786897344906,10.580248530706184,11.0,0.5242308166806396,0.0
TUR,9.91669825072311,8.825769173966723,11.007627327479497,8.0,1.0909290767563875,0.0
KAZ,9.453877739620857,9.45295707511166,9.454798404130054,7.0,0.0009206645091976112,0.0
JAM,8.517573516997292,8.436935505183387,8.598211528811197,6.0,0.08063801181390484,0.0
SUI,8.151413704411798,7.959687400767915,8.34314000805568,8.0,0.1917263036438834,0.0
BLR,8.096082790648593,6.955342022813122,9.236823558484064,,1.1407407678354708,0.0
TPE,8.092210606061736,8.09221050084631,8.092210711277161,7.0,1.0521542495473275e-07,0.0
CRO,7.9687590853557255,7.936979572773541,8.00053859793791,7.0,0.031779512582184824,0.0
NOR,7.7995751448757265,7.688010862439401,7.911139427312052,8.0,0.11156428243632578,0.0
ANZ,7.1716568974394175,-20.085480192657528,34.428793987536366,,27.257137090096947,0.0
SRB,6.9480899446833595,6.945932924511719,6.950246964855,5.0,0.0021570201716410407,0.0
GEO,6.804240287550202,6.800148074202775,6.80833250089763,7.0,0.004092213347427288,0.0
PRK,6.286064962924451,5.956809062976895,6.615320862872007,6.0,0.3292558999475567,0.0
HKG,6.188995670150506,6.1819680881156325,6.1960232521853795,4.0,0.007027582034873635,0.0
FIN,5.9373058126882485,4.387859148352646,7.486752477023851,0.0,1.5494466643356026,0.0
KGZ,5.850711656600287,5.845237310058574,5.856186003141999,6.0,0.005474346541711862,0.0
CZE,5.7121169663401075,5.444986362746072,5.9792475699341425,5.0,0.26713060359403473,0.0
